"ind_ID";"ind_gender";"ind_age";"ind_edu";"ind_happy";"ind_atwork";"ind_income";"hh_pos";"hh_nadult";"hh_nchild";"hh_income";"health_fys";"health_emo";"leis_time"
10101;1;59;3;63;1;1860;2;2;0;1860;3;37;30
10102;2;38;3;73;1;4600;2;2;0;4600;100;88;18
10105;2;44;3;66;1;3600;1;1;2;3929;83;80;10
10202;2;30;3;77;1;800;1;1;2;1057;83;67;4
10203;1;60;3;80;1;1500;2;2;0;1500;100;88;3
10205;1;50;3;75;1;3000;2;2;0;4100;100;77;20
10208;2;54;3;86;1;1800;1;2;0;1918;93;92;24
10302;2;69;1;50;0;1460;2;2;0;2910;11;53;40
10402;2;47;3;76;1;2300;2;2;0;2300;77;88;10
10406;2;31;2;24;1;1200;2;2;1;2806;12;63;7
10502;1;49;3;54;1;2000;1;3;0;2118;100;33;14
10503;1;22;1;69;1;1400;-;6;0;2600;100;55;52
10507;2;26;1;32;0;1300;1;1;1;1390;4;18;45
10508;1;33;1;40;0;950;1;1;0;950;48;63;21
10512;1;32;1;57;0;1250;1;1;1;1340;50;45;10
10513;2;67;3;80;0;2003;1;1;0;2003;12;82;46
10601;1;25;3;74;1;1700;2;2;0;1700;97;83;25
10602;2;32;1;53;0;900;1;1;1;990;93;52;21
10603;2;51;1;70;0;500;-;3;0;1490;89;87;25
10604;2;30;1;77;0;1030;1;1;5;2122;93;83;7
10605;1;32;1;76;1;1500;2;2;2;1757;100;78;20
10607;1;65;1;65;0;1420;1;1;0;1420;89;83;55
10610;1;64;2;77;0;3400;2;2;0;3400;8;87;80
10702;2;37;2;78;0;1200;1;2;0;1318;53;85;10
10703;1;62;2;83;1;667;2;2;0;2027;93;100;7
10801;2;23;1;7;1;1240;1;1;0;1240;89;32;4
10803;1;40;2;70;1;1450;1;1;0;1450;100;90;30
10806;2;31;2;78;1;1300;2;2;0;1300;86;80;4
10808;1;57;2;31;0;750;2;3;1;1803;41;57;28
10810;1;26;2;88;0;1150;1;1;0;1150;100;87;14
10812;1;24;-;73;1;1400;2;2;0;3200;97;82;49
10902;1;29;2;79;1;2750;2;2;0;2750;97;80;20
10903;1;57;1;56;0;1050;2;2;0;3250;19;30;6
10904;1;71;2;95;0;1200;2;3;0;1200;56;75;5
10909;2;50;3;67;1;1400;2;3;0;4718;11;57;28
10910;1;31;1;71;1;1900;1;1;0;1900;100;83;10
10911;2;25;3;70;1;2000;2;2;0;4100;100;82;10
10912;2;33;1;40;0;1080;1;1;3;1642;93;73;17
11003;2;52;3;75;1;1300;1;1;0;1300;97;93;7
11007;1;49;1;58;1;2000;2;2;1;2090;33;82;21
11009;2;31;2;58;1;900;2;2;1;990;32;42;4
11010;1;53;2;86;1;2750;2;2;0;2750;100;100;13
11012;1;64;3;73;0;2156;2;2;0;4195;96;55;42
11102;2;62;1;63;1;1527;1;1;0;1527;89;63;30
11104;2;25;2;71;0;1000;2;2;2;4057;97;72;20
11107;1;55;3;63;1;2400;1;1;0;2400;89;70;12
11109;1;69;3;71;0;950;1;1;0;950;100;88;40
11111;2;65;3;66;0;1900;2;2;0;3408;93;63;28
11201;2;74;2;62;0;889;2;2;0;2381;7;25;30
11204;2;41;2;74;1;1150;1;1;2;1479;93;80;30
11205;2;45;2;78;1;2200;1;2;0;2318;100;85;28
11207;1;46;1;51;0;1100;1;1;0;1100;97;55;40
11208;1;39;2;78;1;1800;2;2;0;2650;83;72;14
11209;2;67;1;81;0;520;2;2;0;2520;48;90;40
11210;1;68;3;92;0;1150;2;2;0;2500;89;97;60
11212;2;54;3;74;1;1845;1;1;1;1959;100;85;12
11301;1;65;1;63;0;408;2;3;0;1758;93;83;21
11401;1;88;2;81;0;2050;2;2;0;4100;100;78;70
11403;2;40;3;63;1;2600;1;1;1;2706;82;77;4
11404;2;35;2;56;1;700;2;2;2;3473;97;72;5
11408;2;61;2;56;0;1300;2;4;0;9775;89;65;40
11413;2;49;2;77;1;2000;1;2;0;2118;100;82;20
11503;2;42;2;72;1;2300;-;2;0;8600;83;83;7
11505;2;60;2;71;1;1000;1;2;0;1118;86;65;16
11511;2;18;1;72;1;280;3;3;0;3648;100;80;45
11513;1;45;3;71;1;3000;2;2;2;4804;100;83;3
